Object, Count, Frequency
he asked., 43, 0.00125138
What?, 38, 0.00110587
said he., 34, 0.00098947
Eh?, 33, 0.00096036
Ah!, 27, 0.00078575
she asked., 26, 0.00075665
What is it?, 22, 0.00064024
he thought., 21, 0.00061114
he said., 21, 0.00061114
Oh!, 21, 0.00061114
Yes., 21, 0.00061114
No!, 19, 0.00055294
Why?, 19, 0.00055294
asked Pierre., 18, 0.00052383
she said., 17, 0.00049473
Hurrah!, 17, 0.00049473
thought he., 16, 0.00046563
I?, 15, 0.00043653
said Pierre., 15, 0.00043653
I., 14, 0.00040743
he shouted., 14, 0.00040743
said Natasha., 13, 0.00037832
said she., 13, 0.00037832
Go on!, 12, 0.00034922
Mamma!, 12, 0.00034922
Go!, 11, 0.00032012
Well?, 11, 0.00032012
she thought., 10, 0.00029102
No., 10, 0.00029102
Your excellency!, 10, 0.00029102
There!, 10, 0.00029102
said Prince Andrew., 9, 0.00026192
O Lord!, 9, 0.00026192
Yes, yes!, 9, 0.00026192
Who?, 9, 0.00026192
Vive l'Empereur!, 9, 0.00026192
Yes!, 8, 0.00023282
said Princess Mary., 8, 0.00023282
thought Pierre., 8, 0.00023282
That's it, come on!, 8, 0.00023282
he added., 8, 0.00023282
thought Natasha., 8, 0.00023282
What do you think?, 8, 0.00023282
Ha, ha, ha!, 8, 0.00023282
thought Princess Mary., 8, 0.00023282
Thank God!, 8, 0.00023282
All were silent., 7, 0.00020371
because., 7, 0.00020371
Where is he?, 7, 0.00020371
hurrah!, 7, 0.00020371
said Nicholas., 7, 0.00020371
he cried., 7, 0.00020371
Count!, 7, 0.00020371
thought Rostov., 7, 0.00020371
The Emperor!, 7, 0.00020371
Sonya!, 7, 0.00020371
Natasha!, 7, 0.00020371
Hm., 6, 0.00017461
There now!, 6, 0.00017461
Where?, 6, 0.00017461
What's the matter?, 6, 0.00017461
she cried., 6, 0.00017461
What did he say?, 6, 0.00017461
All right., 6, 0.00017461
Why not?, 6, 0.00017461
left., 6, 0.00017461
Really?, 6, 0.00017461
asked Nicholas., 6, 0.00017461
asked Natasha., 6, 0.00017461
said Rostov., 6, 0.00017461
Mr., 6, 0.00017461
asked Prince Andrew., 5, 0.00014551
My God!, 5, 0.00014551
Yes, yes., 5, 0.00014551
Nothing., 5, 0.00014551
he inquired., 5, 0.00014551
Who are you?, 5, 0.00014551
said the countess., 5, 0.00014551
What nonsense!, 5, 0.00014551
Dear me!, 5, 0.00014551
What is this?, 5, 0.00014551
Listen!, 5, 0.00014551
What for?, 5, 0.00014551
Nonsense!, 5, 0.00014551
cried Natasha., 5, 0.00014551
What has happened?, 5, 0.00014551
asked Boris., 5, 0.00014551
Nicholas!, 5, 0.00014551
he muttered., 5, 0.00014551
Ooh!, 5, 0.00014551
I don't know., 5, 0.00014551
said Dolokhov., 5, 0.00014551
Charming!, 5, 0.00014551
Here it is!, 5, 0.00014551
asked Rostov., 5, 0.00014551
Nothing!, 5, 0.00014551
asked the countess., 5, 0.00014551
Come on!, 4, 0.00011641
Lads!, 4, 0.00011641
Fine!, 4, 0.00011641
Oh, my God!, 4, 0.00011641
thought Nicholas., 4, 0.00011641
Good-bye!, 4, 0.00011641
asked the princess., 4, 0.00011641
said the count., 4, 0.00011641
he remarked., 4, 0.00011641
Yes, sir., 4, 0.00011641
No, it can't be!, 4, 0.00011641
That's it., 4, 0.00011641
Sire!, 4, 0.00011641
I can't., 4, 0.00011641
Petya!, 4, 0.00011641
What do you want?, 4, 0.00011641
Oh yes!, 4, 0.00011641
Father!, 4, 0.00011641
But what am I to do?, 4, 0.00011641
All right!, 4, 0.00011641
He paused., 4, 0.00011641
But., 4, 0.00011641
Yes?, 4, 0.00011641
Hm!, 4, 0.00011641
and so on., 4, 0.00011641
How is he?, 4, 0.00011641
N., 4, 0.00011641
How happy I am!, 4, 0.00011641
On the contrary., 4, 0.00011641
Grand!, 4, 0.00011641
Papa!, 4, 0.00011641
Go away!, 4, 0.00011641
Where are you off to?, 4, 0.00011641
I don't understand., 4, 0.00011641
But no!, 4, 0.00011641
said Anatole., 4, 0.00011641
What!, 4, 0.00011641
he exclaimed., 4, 0.00011641
said another., 4, 0.00011641
From all sides., 3, 0.00008731
Why are you here?, 3, 0.00008731
You see., 3, 0.00008731
What's that?, 3, 0.00008731
What's this?, 3, 0.00008731
What are they doing?, 3, 0.00008731
